user-000281,18,7
user-000281,2,8
user-000281,5,9
user-000281,15,10
user-000282,2,0
user-000283,13,0
user-000299,2,1
user-000299,13,2
user-000299,13,3
user-000299,5,4
user-000299,17,5
user-000299,8,6
user-000299,18,7
user-000299,13,8
user-000300,2,0
user-000300,2,1
user-000314,13,1
user-000315,13,0
user-000315,5,1
user-000316,5,0
user-000316,15,1
user-000316,13,2
user-000316,5,3
user-000316,5,4
user-000316,17,5
user-000316,13,6
user-000326,13,1
user-000327,13,0
user-000327,13,1
user-000327,5,2
user-000327,6,3
user-000327,6,4
user-000327,18,5
user-000328,18,0
user-000328,18,1
user-000329,2,0
user-000347,18,1
user-000348,8,0
user-000348,13,1
user-000349,13,0
user-000349,5,1
user-000350,2,0
user-000350,17,1
user-000351,18,0
user-000351,17,1
user-000352,5,0
user-000368,13,1
user-000368,5,2
user-000369,2,0
user-000369,17,1
user-000370,18,0
user-000371,8,0
user-000371,2,1
user-000372,5,0
user-000372,5,1
user-000372,5,2
user-000389,13,1
user-000389,13,2
user-000390,18,0
user-000390,18,1
user-000391,5,0
user-000391,2,1
user-000392,17,0
user-000393,18,0
user-000393,18,1
user-000393,2,2
user-000409,13,0
user-000409,13,1
user-000410,5,0
user-000410,13,1
user-000411,2,0
user-000411,17,1
user-000412,2,0
user-000412,5,1
user-000413,17,0
user-000413,18,1
user-000429,18,5
user-000429,13,6
user-000429,13,7
user-000429,13,8
user-000430,5,0
user-000430,18,1
user-000431,18,0
user-000431,8,1
user-000432,13,0
user-000432,18,1
user-000447,13,5
user-000447,13,6
user-000447,13,7
user-000448,18,0
user-000448,2,1
user-000449,6,0
user-000449,18,1
user-000450,18,0
user-000451,5,0
user-000451,18,1
user-000467,13,0
user-000467,2,1
user-000468,13,0
user-000468,13,1
user-000468,5,2
user-000469,2,0
user-000469,2,1
user-000470,20,0
user-000470,19,1
user-000470,18,2
user-000485,2,1
user-000485,13,2
user-000486,13,0
user-000486,5,1
user-000487,2,0
user-000488,15,0
user-000488,18,1
user-000488,17,2
user-000489,2,0
user-000489,18,1
user-000506,8,1
user-000506,13,2
user-000506,13,3
user-000507,5,0
user-000508,2,0
user-000508,13,1
user-000509,2,0
user-000509,5,1
user-000509,2,2
user-000509,9,3
user-000524,13,1
user-000524,5,2
user-000524,2,3
user-000524,15,4
user-000524,8,5
user-000524,13,6
user-000525,5,0
user-000525,17,1
user-000526,2,0
user-000526,11,1
user-000541,13,2
user-000542,2,0
user-000542,13,1
user-000542,13,2
user-000542,13,3
user-000542,5,4
user-000543,17,0
user-000543,2,1
user-000544,2,0
user-000544,5,1
user-000555,2,14
user-000555,5,15
user-000555,13,16
user-000555,13,17
user-000555,13,18
user-000555,2,19
user-000555,6,20
user-000555,18,21
user-000556,5,0
user-000557,13,0
user-000577,2,0
user-000577,13,1
user-000578,13,0
user-000578,5,1
user-000579,2,0
user-000579,17,1
user-000579,15,2
user-000579,18,3
user-000580,2,0
user-000581,6,0
user-000600,13,0
user-000600,13,1
user-000600,8,2
user-000600,18,3
user-000600,15,4
user-000600,11,5
user-000600,13,6
user-000600,9,7
user-000600,2,8
user-000600,13,9
user-000616,13,4
user-000616,13,5
user-000616,13,6
